,Id,OrderId,ProductId,UnitPrice,Quantity,Discount,Discontinued,UnitsInStock,NotInStock,Price
153,10305/18,10305,18,50.0,25,0.1,0,42,0,1125.0
154,10305/29,10305,29,99.0,25,0.1,1,0,1,2227.5
155,10305/39,10305,39,14.4,30,0.1,0,69,0,388.8
156,10306/30,10306,30,20.7,10,0.0,0,10,0,207.0
157,10306/53,10306,53,26.2,10,0.0,1,0,1,262.0
158,10306/54,10306,54,5.9,5,0.0,0,21,0,29.5
159,10307/62,10307,62,39.4,10,0.0,0,17,0,394.0
160,10307/68,10307,68,10.0,3,0.0,0,6,0,30.0
161,10308/69,10308,69,28.8,1,0.0,0,26,0,28.8
162,10308/70,10308,70,12.0,5,0.0,0,15,0,60.0
163,10309/4,10309,4,17.6,20,0.0,0,53,0,352.0
164,10309/6,10309,6,20.0,30,0.0,0,120,0,600.0
165,10309/42,10309,42,11.2,2,0.0,1,26,1,22.4
166,10309/43,10309,43,36.8,20,0.0,0,17,0,736.0
167,10309/71,10309,71,17.2,3,0.0,0,26,0,51.599999999999994
168,10310/16,10310,16,13.9,10,0.0,0,29,0,139.0
169,10310/62,10310,62,39.4,5,0.0,0,17,0,197.0
170,10311/42,10311,42,11.2,6,0.0,1,26,1,67.19999999999999
171,10311/69,10311,69,28.8,7,0.0,0,26,0,201.6
172,10312/28,10312,28,36.4,4,0.0,1,26,1,145.6
173,10312/43,10312,43,36.8,24,0.0,0,17,0,883.1999999999999
174,10312/53,10312,53,26.2,20,0.0,1,0,1,524.0
175,10312/75,10312,75,6.2,10,0.0,0,125,0,62.0
176,10313/36,10313,36,15.2,12,0.0,0,112,0,182.39999999999998
177,10314/32,10314,32,25.6,40,0.1,0,9,0,921.6000000000001
178,10314/58,10314,58,10.6,30,0.1,0,62,0,286.2
179,10314/62,10314,62,39.4,25,0.1,0,17,0,886.5
180,10315/34,10315,34,11.2,14,0.0,0,111,0,156.79999999999998
181,10315/70,10315,70,12.0,30,0.0,0,15,0,360.0
182,10316/41,10316,41,7.7,10,0.0,0,85,0,77.0
183,10316/62,10316,62,39.4,70,0.0,0,17,0,2758.0
184,10317/1,10317,1,14.4,20,0.0,0,39,0,288.0
185,10318/41,10318,41,7.7,20,0.0,0,85,0,154.0
186,10318/76,10318,76,14.4,6,0.0,0,57,0,86.4
187,10319/17,10319,17,31.2,8,0.0,1,0,1,249.6
188,10319/28,10319,28,36.4,14,0.0,1,26,1,509.59999999999997
189,10319/76,10319,76,14.4,30,0.0,0,57,0,432.0
190,10320/71,10320,71,17.2,30,0.0,0,26,0,516.0
191,10321/35,10321,35,14.4,10,0.0,0,20,0,144.0
192,10322/52,10322,52,5.6,20,0.0,0,38,0,112.0
193,10323/15,10323,15,12.4,5,0.0,0,39,0,62.0
194,10323/25,10323,25,11.2,4,0.0,0,76,0,44.8
195,10323/39,10323,39,14.4,4,0.0,0,69,0,57.6
196,10324/16,10324,16,13.9,21,0.15,0,29,0,248.11499999999998
197,10324/35,10324,35,14.4,70,0.15,0,20,0,856.8000000000001
198,10324/46,10324,46,9.6,30,0.0,0,95,0,288.0
199,10324/59,10324,59,44.0,40,0.15,0,79,0,1496.0
200,10324/63,10324,63,35.1,80,0.15,0,24,0,2386.8
201,10325/6,10325,6,20.0,6,0.0,0,120,0,120.0
202,10325/13,10325,13,4.8,12,0.0,0,24,0,57.599999999999994
203,10325/14,10325,14,18.6,9,0.0,0,35,0,167.4
204,10325/31,10325,31,10.0,4,0.0,0,0,1,40.0
205,10325/72,10325,72,27.8,40,0.0,0,14,0,1112.0
206,10326/4,10326,4,17.6,24,0.0,0,53,0,422.40000000000003
207,10326/57,10326,57,15.6,16,0.0,0,36,0,249.6
208,10326/75,10326,75,6.2,50,0.0,0,125,0,310.0
209,10327/2,10327,2,15.2,25,0.2,0,17,0,304.0
210,10327/11,10327,11,16.8,50,0.2,0,22,0,672.0000000000001
211,10327/30,10327,30,20.7,35,0.2,0,10,0,579.5999999999999
212,10327/58,10327,58,10.6,30,0.2,0,62,0,254.4
213,10328/59,10328,59,44.0,9,0.0,0,79,0,396.0
214,10328/65,10328,65,16.8,40,0.0,0,76,0,672.0
215,10328/68,10328,68,10.0,10,0.0,0,6,0,100.0
216,10329/19,10329,19,7.3,10,0.05,0,25,0,69.35
217,10329/30,10329,30,20.7,8,0.05,0,10,0,157.32
218,10329/38,10329,38,210.8,20,0.05,0,17,0,4005.2
219,10329/56,10329,56,30.4,12,0.05,0,21,0,346.56
220,10330/26,10330,26,24.9,50,0.15,0,15,0,1058.25
221,10330/72,10330,72,27.8,25,0.15,0,14,0,590.75
222,10331/54,10331,54,5.9,15,0.0,0,21,0,88.5
223,10332/18,10332,18,50.0,40,0.2,0,42,0,1600.0
224,10332/42,10332,42,11.2,10,0.2,1,26,1,89.6
225,10332/47,10332,47,7.6,16,0.2,0,36,0,97.28
226,10333/14,10333,14,18.6,10,0.0,0,35,0,186.0
227,10333/21,10333,21,8.0,10,0.1,0,3,0,72.0
228,10333/71,10333,71,17.2,40,0.1,0,26,0,619.2
229,10334/52,10334,52,5.6,8,0.0,0,38,0,44.8
230,10334/68,10334,68,10.0,10,0.0,0,6,0,100.0
231,10335/2,10335,2,15.2,7,0.2,0,17,0,85.12
232,10335/31,10335,31,10.0,25,0.2,0,0,1,200.0
233,10335/32,10335,32,25.6,6,0.2,0,9,0,122.88000000000002
234,10335/51,10335,51,42.4,48,0.2,0,20,0,1628.16
235,10336/4,10336,4,17.6,18,0.1,0,53,0,285.12
236,10337/23,10337,23,7.2,40,0.0,0,61,0,288.0
237,10337/26,10337,26,24.9,24,0.0,0,15,0,597.5999999999999
238,10337/36,10337,36,15.2,20,0.0,0,112,0,304.0
239,10337/37,10337,37,20.8,28,0.0,0,11,0,582.4
240,10337/72,10337,72,27.8,25,0.0,0,14,0,695.0
241,10338/17,10338,17,31.2,20,0.0,1,0,1,624.0
242,10338/30,10338,30,20.7,15,0.0,0,10,0,310.5
243,10339/4,10339,4,17.6,10,0.0,0,53,0,176.0
244,10339/17,10339,17,31.2,70,0.05,1,0,1,2074.7999999999997
245,10339/62,10339,62,39.4,28,0.0,0,17,0,1103.2
246,10340/18,10340,18,50.0,20,0.05,0,42,0,950.0
247,10340/41,10340,41,7.7,12,0.05,0,85,0,87.78
248,10340/43,10340,43,36.8,40,0.05,0,17,0,1398.3999999999996
249,10341/33,10341,33,2.0,8,0.0,0,112,0,16.0
250,10341/59,10341,59,44.0,9,0.15,0,79,0,336.59999999999997
251,10342/2,10342,2,15.2,24,0.2,0,17,0,291.84000000000003
252,10342/31,10342,31,10.0,56,0.2,0,0,1,448.0
253,10342/36,10342,36,15.2,40,0.2,0,112,0,486.4
254,10342/55,10342,55,19.2,40,0.2,0,115,0,614.4
255,10343/64,10343,64,26.6,50,0.0,0,22,0,1330.0
256,10343/68,10343,68,10.0,4,0.05,0,6,0,38.0
257,10343/76,10343,76,14.4,15,0.0,0,57,0,216.0
258,10344/4,10344,4,17.6,35,0.0,0,53,0,616.0
259,10344/8,10344,8,32.0,70,0.25,0,6,0,1680.0
260,10345/8,10345,8,32.0,70,0.0,0,6,0,2240.0
261,10345/19,10345,19,7.3,80,0.0,0,25,0,584.0
262,10345/42,10345,42,11.2,9,0.0,1,26,1,100.8
263,10346/17,10346,17,31.2,36,0.1,1,0,1,1010.8799999999999
264,10346/56,10346,56,30.4,20,0.0,0,21,0,608.0
265,10347/25,10347,25,11.2,10,0.0,0,76,0,112.0
266,10347/39,10347,39,14.4,50,0.15,0,69,0,612.0
267,10347/40,10347,40,14.7,4,0.0,0,123,0,58.8
268,10347/75,10347,75,6.2,6,0.15,0,125,0,31.619999999999997
269,10348/1,10348,1,14.4,15,0.15,0,39,0,183.6
270,10348/23,10348,23,7.2,25,0.0,0,61,0,180.0
271,10349/54,10349,54,5.9,24,0.0,0,21,0,141.60000000000002
272,10350/50,10350,50,13.0,15,0.1,0,65,0,175.50000000000003
273,10350/69,10350,69,28.8,18,0.1,0,26,0,466.56000000000006
274,10351/38,10351,38,210.8,20,0.05,0,17,0,4005.2
275,10351/41,10351,41,7.7,13,0.0,0,85,0,100.10000000000001
276,10351/44,10351,44,15.5,77,0.05,0,27,0,1133.825
277,10351/65,10351,65,16.8,10,0.05,0,76,0,159.6
278,10352/24,10352,24,3.6,10,0.0,1,20,1,36.0
279,10352/54,10352,54,5.9,20,0.15,0,21,0,100.30000000000001
280,10353/11,10353,11,16.8,12,0.2,0,22,0,161.28000000000003
281,10353/38,10353,38,210.8,50,0.2,0,17,0,8432.0
282,10354/1,10354,1,14.4,12,0.0,0,39,0,172.8
283,10354/29,10354,29,99.0,4,0.0,1,0,1,396.0
284,10355/24,10355,24,3.6,25,0.0,1,20,1,90.0
285,10355/57,10355,57,15.6,25,0.0,0,36,0,390.0
286,10356/31,10356,31,10.0,30,0.0,0,0,1,300.0
287,10356/55,10356,55,19.2,12,0.0,0,115,0,230.39999999999998
288,10356/69,10356,69,28.8,20,0.0,0,26,0,576.0
289,10357/10,10357,10,24.8,30,0.2,0,31,0,595.2
290,10357/26,10357,26,24.9,16,0.0,0,15,0,398.4
291,10357/60,10357,60,27.2,8,0.2,0,19,0,174.08
292,10358/24,10358,24,3.6,10,0.05,1,20,1,34.2
293,10358/34,10358,34,11.2,10,0.05,0,111,0,106.39999999999999
294,10358/36,10358,36,15.2,20,0.05,0,112,0,288.8
295,10359/16,10359,16,13.9,56,0.05,0,29,0,739.48
296,10359/31,10359,31,10.0,70,0.05,0,0,1,665.0
297,10359/60,10359,60,27.2,80,0.05,0,19,0,2067.2
298,10360/28,10360,28,36.4,30,0.0,1,26,1,1092.0
299,10360/29,10360,29,99.0,35,0.0,1,0,1,3465.0
300,10360/38,10360,38,210.8,10,0.0,0,17,0,2108.0
301,10360/49,10360,49,16.0,35,0.0,0,10,0,560.0
302,10360/54,10360,54,5.9,28,0.0,0,21,0,165.20000000000002
303,10361/39,10361,39,14.4,54,0.1,0,69,0,699.84
304,10361/60,10361,60,27.2,55,0.1,0,19,0,1346.4
305,10362/25,10362,25,11.2,50,0.0,0,76,0,560.0
306,10362/51,10362,51,42.4,20,0.0,0,20,0,848.0
307,10362/54,10362,54,5.9,24,0.0,0,21,0,141.60000000000002
308,10363/31,10363,31,10.0,20,0.0,0,0,1,200.0
309,10363/75,10363,75,6.2,12,0.0,0,125,0,74.4
310,10363/76,10363,76,14.4,12,0.0,0,57,0,172.8
311,10364/69,10364,69,28.8,30,0.0,0,26,0,864.0
312,10364/71,10364,71,17.2,5,0.0,0,26,0,86.0
313,10365/11,10365,11,16.8,24,0.0,0,22,0,403.20000000000005
314,10366/65,10366,65,16.8,5,0.0,0,76,0,84.0
315,10366/77,10366,77,10.4,5,0.0,0,32,0,52.0
316,10367/34,10367,34,11.2,36,0.0,0,111,0,403.2
317,10367/54,10367,54,5.9,18,0.0,0,21,0,106.2
318,10367/65,10367,65,16.8,15,0.0,0,76,0,252.0
319,10367/77,10367,77,10.4,7,0.0,0,32,0,72.8
320,10368/21,10368,21,8.0,5,0.1,0,3,0,36.0
321,10368/28,10368,28,36.4,13,0.1,1,26,1,425.88
322,10368/57,10368,57,15.6,25,0.0,0,36,0,390.0
323,10368/64,10368,64,26.6,35,0.1,0,22,0,837.9000000000001
324,10369/29,10369,29,99.0,20,0.0,1,0,1,1980.0
325,10369/56,10369,56,30.4,18,0.25,0,21,0,410.4
326,10370/1,10370,1,14.4,15,0.15,0,39,0,183.6
327,10370/64,10370,64,26.6,30,0.0,0,22,0,798.0
328,10370/74,10370,74,8.0,20,0.15,0,4,0,136.0
329,10371/36,10371,36,15.2,6,0.2,0,112,0,72.96000000000001
330,10372/20,10372,20,64.8,12,0.25,0,40,0,583.1999999999999
331,10372/38,10372,38,210.8,40,0.25,0,17,0,6324.000000000001
332,10372/60,10372,60,27.2,70,0.25,0,19,0,1428.0
333,10372/72,10372,72,27.8,42,0.25,0,14,0,875.7
334,10373/58,10373,58,10.6,80,0.2,0,62,0,678.4000000000001
335,10373/71,10373,71,17.2,50,0.2,0,26,0,688.0
336,10374/31,10374,31,10.0,30,0.0,0,0,1,300.0
337,10374/58,10374,58,10.6,15,0.0,0,62,0,159.0
338,10375/14,10375,14,18.6,15,0.0,0,35,0,279.0
339,10375/54,10375,54,5.9,10,0.0,0,21,0,59.0
340,10376/31,10376,31,10.0,42,0.05,0,0,1,399.0
341,10377/28,10377,28,36.4,20,0.15,1,26,1,618.8
342,10377/39,10377,39,14.4,20,0.15,0,69,0,244.8
343,10378/71,10378,71,17.2,6,0.0,0,26,0,103.19999999999999
344,10379/41,10379,41,7.7,8,0.1,0,85,0,55.440000000000005
345,10379/63,10379,63,35.1,16,0.1,0,24,0,505.44000000000005
346,10379/65,10379,65,16.8,20,0.1,0,76,0,302.40000000000003
347,10380/30,10380,30,20.7,18,0.1,0,10,0,335.34
348,10380/53,10380,53,26.2,20,0.1,1,0,1,471.59999999999997
349,10380/60,10380,60,27.2,6,0.1,0,19,0,146.88
350,10380/70,10380,70,12.0,30,0.0,0,15,0,360.0
351,10381/74,10381,74,8.0,14,0.0,0,4,0,112.0
352,10382/5,10382,5,17.0,32,0.0,1,0,1,544.0
353,10382/18,10382,18,50.0,9,0.0,0,42,0,450.0
354,10382/29,10382,29,99.0,14,0.0,1,0,1,1386.0
355,10382/33,10382,33,2.0,60,0.0,0,112,0,120.0
356,10382/74,10382,74,8.0,50,0.0,0,4,0,400.0
357,10383/13,10383,13,4.8,20,0.0,0,24,0,96.0
358,10383/50,10383,50,13.0,15,0.0,0,65,0,195.0
359,10383/56,10383,56,30.4,20,0.0,0,21,0,608.0
360,10384/20,10384,20,64.8,28,0.0,0,40,0,1814.3999999999999
361,10384/60,10384,60,27.2,15,0.0,0,19,0,408.0
362,10385/7,10385,7,24.0,10,0.2,0,15,0,192.00000000000003
363,10385/60,10385,60,27.2,20,0.2,0,19,0,435.20000000000005
364,10385/68,10385,68,10.0,8,0.2,0,6,0,64.0
365,10386/24,10386,24,3.6,15,0.0,1,20,1,54.0
366,10386/34,10386,34,11.2,10,0.0,0,111,0,112.0
367,10387/24,10387,24,3.6,15,0.0,1,20,1,54.0
368,10387/28,10387,28,36.4,6,0.0,1,26,1,218.39999999999998
369,10387/59,10387,59,44.0,12,0.0,0,79,0,528.0
370,10387/71,10387,71,17.2,15,0.0,0,26,0,258.0
371,10388/45,10388,45,7.6,15,0.2,0,5,0,91.2
372,10388/52,10388,52,5.6,20,0.2,0,38,0,89.6
373,10388/53,10388,53,26.2,40,0.0,1,0,1,1048.0
374,10389/10,10389,10,24.8,16,0.0,0,31,0,396.8
375,10389/55,10389,55,19.2,15,0.0,0,115,0,288.0
376,10389/62,10389,62,39.4,20,0.0,0,17,0,788.0
377,10389/70,10389,70,12.0,30,0.0,0,15,0,360.0
378,10390/31,10390,31,10.0,60,0.1,0,0,1,540.0
379,10390/35,10390,35,14.4,40,0.1,0,20,0,518.4000000000001
380,10390/46,10390,46,9.6,45,0.0,0,95,0,432.0
381,10390/72,10390,72,27.8,24,0.1,0,14,0,600.48
382,10391/13,10391,13,4.8,18,0.0,0,24,0,86.39999999999999
383,10392/69,10392,69,28.8,50,0.0,0,26,0,1440.0
384,10393/2,10393,2,15.2,25,0.25,0,17,0,284.99999999999994
385,10393/14,10393,14,18.6,42,0.25,0,35,0,585.9000000000001
386,10393/25,10393,25,11.2,7,0.25,0,76,0,58.79999999999999
387,10393/26,10393,26,24.9,70,0.25,0,15,0,1307.2499999999998
388,10393/31,10393,31,10.0,32,0.0,0,0,1,320.0
389,10394/13,10394,13,4.8,10,0.0,0,24,0,48.0
390,10394/62,10394,62,39.4,10,0.0,0,17,0,394.0
391,10395/46,10395,46,9.6,28,0.1,0,95,0,241.92000000000002
392,10395/53,10395,53,26.2,70,0.1,1,0,1,1650.6
393,10395/69,10395,69,28.8,8,0.0,0,26,0,230.4
394,10396/23,10396,23,7.2,40,0.0,0,61,0,288.0
395,10396/71,10396,71,17.2,60,0.0,0,26,0,1032.0
396,10396/72,10396,72,27.8,21,0.0,0,14,0,583.8000000000001
397,10397/21,10397,21,8.0,10,0.15,0,3,0,68.0
398,10397/51,10397,51,42.4,18,0.15,0,20,0,648.72
399,10398/35,10398,35,14.4,30,0.0,0,20,0,432.0
400,10398/55,10398,55,19.2,120,0.1,0,115,0,2073.6000000000004
401,10399/68,10399,68,10.0,60,0.0,0,6,0,600.0
402,10399/71,10399,71,17.2,30,0.0,0,26,0,516.0
403,10399/76,10399,76,14.4,35,0.0,0,57,0,504.0
404,10399/77,10399,77,10.4,14,0.0,0,32,0,145.6
405,10400/29,10400,29,99.0,21,0.0,1,0,1,2079.0
406,10400/35,10400,35,14.4,35,0.0,0,20,0,504.0
407,10400/49,10400,49,16.0,30,0.0,0,10,0,480.0
408,10401/30,10401,30,20.7,18,0.0,0,10,0,372.59999999999997
409,10401/56,10401,56,30.4,70,0.0,0,21,0,2128.0
410,10401/65,10401,65,16.8,20,0.0,0,76,0,336.0
411,10401/71,10401,71,17.2,60,0.0,0,26,0,1032.0
412,10402/23,10402,23,7.2,60,0.0,0,61,0,432.0
413,10402/63,10402,63,35.1,65,0.0,0,24,0,2281.5
414,10403/16,10403,16,13.9,21,0.15,0,29,0,248.11499999999998
415,10403/48,10403,48,10.2,70,0.15,0,15,0,606.9
416,10404/26,10404,26,24.9,30,0.05,0,15,0,709.65
417,10404/42,10404,42,11.2,40,0.05,1,26,1,425.59999999999997
418,10404/49,10404,49,16.0,30,0.05,0,10,0,456.0
419,10405/3,10405,3,8.0,50,0.0,0,13,0,400.0
420,10406/1,10406,1,14.4,10,0.0,0,39,0,144.0
